company_A,company_B,score,Adresse_A,Zip_A,City_A,Country_A,Adresse_B,Zip_B,City_B,Country_B
TableOnline,TableOnline,1.0,2 Avenue de Lombez,31300,Toulouse,France,2 Avenue de Lombez,31300,Toulouse,France
KTM Advance,KTM Advance,1.0,157 Boulevard Macdonald,75017,Paris,France,157 Boulevard Macdonald,75017,Paris,France
Kea & Partners,Kea & Partners,1.0,{'Kea & Partners': '3 Rue Danton'},{'Kea & Partners': '92240'},{'Kea & Partners': 'Malakoff'},{'Kea & Partners': 'France'},{'Kea & Partners': ''},{'Kea & Partners': ''},{'Kea & Partners': ''},{'Kea & Partners': ''}
MULTIVAC Sepp Haggenmüller SE & Co. KG,MULTIVAC Sepp Haggenmüller SE & Co. KG,1.0000000000000004,2 Passage Fernand Léger,77462,Lagny-sur-Marne,France,2 Passage Fernand Léger,77462,Lagny-sur-Marne,France
Legal Suite,Legal Suite,1.0000000000000002,{'Legal Suite': '65 Rue Jean Jacques Rousseau'},{'Legal Suite': '92150'},{'Legal Suite': 'Suresnes'},{'Legal Suite': ''},{'Legal Suite': ''},{'Legal Suite': ''},{'Legal Suite': ''},{'Legal Suite': ''}
Thalys,Thalys,1.0000000000000002,20 Place Stéphanie,1000,Bruxelles,Belgium,20 Place Stéphanie,1000,Bruxelles,Belgium
BRIGHTEN,BRIGHTEN,1.0,17 Rue de Satory,78000,Versailles,France,17 Rue de Satory,78000,Versailles,France
Planeum - Certifiée GPTW 2017,Planeum - Certifiée GPTW 2017,1.0000000000000002,80 Rue d'Hauteville,75010,Paris,France,80 Rue d'Hauteville,75010,Paris,France
eBusiness Information,eBusiness Information,1.0,{'eBusiness Information': 'Avenue Aristide Briand'},{'eBusiness Information': ''},{'eBusiness Information': 'Bagneux'},{'eBusiness Information': 'France'},Avenue Aristide Briand,,Bagneux,France
Uside,Uside,1.0000000000000004,22 RUE MARIGNAN,75008,PARIS,France,22 RUE MARIGNAN,75008,PARIS,France
MyndBlue,MyndBlue,1.0000000000000002,1 Broadway,02142,Cambridge,United States,1 Broadway,02142,Cambridge,United States
D2SI,D2SI,1.0,"{'D2SI': ""29 Rue d'Astorg, Paris, Île-de-France, France, 75008""}",{'D2SI': '75008'},{'D2SI': 'Paris'},{'D2SI': 'France'},"{'D2SI': ""29 Rue d'Astorg, Paris, Île-de-France, France, 75008""}",{'D2SI': '75008'},{'D2SI': 'Paris'},{'D2SI': 'France'}
SNCF,SNCF,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''}
SNCF,SNCF,1.0,{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''},{'SNCF': ''}
CARIZY,CARIZY,1.0000000000000002,{'CARIZY': '19 Rue Martel'},{'CARIZY': '49320'},{'CARIZY': 'Paris'},{'CARIZY': 'France'},19 Rue Martel,49320,Paris,France
CARIZY,Carizy,1.0000000000000002,{'CARIZY': '19 Rue Martel'},{'CARIZY': '49320'},{'CARIZY': 'Paris'},{'CARIZY': 'France'},19 Rue Martel,49320,Paris,France
ELAN,ELAN,1.0,1 Avenue Eugène Freyssinet,78061,Guyancourt,,1 Avenue Eugène Freyssinet,78061,Guyancourt,
Maison Kitsuné,Maison Kitsuné,1.0,10 RUE CHAUCHAT,75009,Minato-ku,France,{'Maison Kitsuné': '10 RUE CHAUCHAT'},{'Maison Kitsuné': '75009'},{'Maison Kitsuné': 'Minato-ku'},{'Maison Kitsuné': 'France'}
Maison Kitsuné,Maison Kitsuné,1.0,10 RUE CHAUCHAT,75009,Minato-ku,France,{'Maison Kitsuné': '10 RUE CHAUCHAT'},{'Maison Kitsuné': '75009'},{'Maison Kitsuné': 'Minato-ku'},{'Maison Kitsuné': 'France'}
Zero Games Studios,Zero Games Studios,1.0000000000000002,"46, rue René Clair",75018,Paris,France,"46, rue René Clair",75018,Paris,France
Synolia,Synolia,1.0000000000000002,59 Rue de l'Abondance,69003,Lyon,France,59 Rue de l'Abondance,69003,Lyon,France
Esokia Web Agency,Esokia Web Agency,1.0,ORBIS CT,,Quatre Bornes,Mauritius,ORBIS CT,,Quatre Bornes,Mauritius
Jalios,Jalios,1.0000000000000002,{'Jalios': '58 Rue Pottier'},{'Jalios': '78150'},{'Jalios': 'Le Chesnay'},{'Jalios': 'France'},{'Jalios': '58 Rue Pottier'},{'Jalios': '78150'},{'Jalios': 'Le Chesnay'},{'Jalios': 'France'}
Jalios,Jalios,1.0000000000000002,{'Jalios': '58 Rue Pottier'},{'Jalios': '78150'},{'Jalios': 'Le Chesnay'},{'Jalios': 'France'},{'Jalios': '58 Rue Pottier'},{'Jalios': '78150'},{'Jalios': 'Le Chesnay'},{'Jalios': 'France'}
Artdesk,Artdesk,1.0,{'Artdesk': '93 RUE DE MONCEAU'},{'Artdesk': '75008'},{'Artdesk': 'Paris'},{'Artdesk': 'France'},93 Rue de Monceau,75008,Paris,France
Yelloz components,Yelloz components,1.0000000000000002,,91940,,France,,91940,,France
spgestion.fr,spgestion.fr,1.0,,,,France,,,,France
Capgemini,Capgemini,1.0000000000000002,"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'},"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'}
Capgemini,Capgemini,1.0000000000000002,"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'},"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'}
Capgemini,CAPGEMINI,1.0000000000000002,"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'},23 Rue Brey,75017,Paris,France
Capgemini,Capgemini,1.0000000000000002,"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'},"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'}
Capgemini,Capgemini,1.0000000000000002,"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'},"{'Capgemini': 'Tour Europlaza, 20, Avenue André Prothin 92927 Courbevoie cedex'}",{'Capgemini': '75017'},{'Capgemini': 'Paris'},{'Capgemini': 'France'}
Novethic,Novethic,1.0,,75001,Paris,France,,75001,Paris,France
AB Tasty,AB Tasty,1.0,{'AB Tasty': '38 Rue du Sentier'},{'AB Tasty': '50667'},{'AB Tasty': 'Paris'},{'AB Tasty': 'France'},{'AB Tasty': '38 Rue du Sentier'},{'AB Tasty': '50667'},{'AB Tasty': 'Paris'},{'AB Tasty': 'France'}
AB Tasty,AB Tasty,1.0,{'AB Tasty': '38 Rue du Sentier'},{'AB Tasty': '50667'},{'AB Tasty': 'Paris'},{'AB Tasty': 'France'},{'AB Tasty': '38 Rue du Sentier'},{'AB Tasty': '50667'},{'AB Tasty': 'Paris'},{'AB Tasty': 'France'}
AB Tasty,AB Tasty,1.0,{'AB Tasty': '38 Rue du Sentier'},{'AB Tasty': '50667'},{'AB Tasty': 'Paris'},{'AB Tasty': 'France'},{'AB Tasty': '38 Rue du Sentier'},{'AB Tasty': '50667'},{'AB Tasty': 'Paris'},{'AB Tasty': 'France'}
Agence Clark,Agence Clark,1.0000000000000004,14 Rue d'Uzès,75002,Paris,France,14 Rue d'Uzès,75002,Paris,France
InterCloud,InterCloud,1.0000000000000002,{'InterCloud': '88-90 Boulevard de Sébastopol'},{'InterCloud': '75001'},{'InterCloud': 'Paris'},{'InterCloud': 'France'},{'InterCloud': '88-90 Boulevard de Sébastopol'},{'InterCloud': '75001'},{'InterCloud': 'Paris'},{'InterCloud': 'France'}
InterCloud,InterCloud,1.0000000000000002,{'InterCloud': '88-90 Boulevard de Sébastopol'},{'InterCloud': '75001'},{'InterCloud': 'Paris'},{'InterCloud': 'France'},{'InterCloud': '88-90 Boulevard de Sébastopol'},{'InterCloud': '75001'},{'InterCloud': 'Paris'},{'InterCloud': 'France'}
SCORE DDB,SCORE DDB,1.0000000000000002,75 Rue la Condamine,75017,Paris,France,75 Rue la Condamine,75017,Paris,France
Flatchr,Flatchr,1.0,{'Flatchr': '81 Rue de Paris'},{'Flatchr': '92100'},{'Flatchr': 'Boulogne-Billancourt'},{'Flatchr': 'France'},{'Flatchr': '81 Rue de Paris'},{'Flatchr': '75016'},{'Flatchr': 'Boulogne-Billancourt'},{'Flatchr': 'France'}
Flatchr,Flatchr,1.0,{'Flatchr': '81 Rue de Paris'},{'Flatchr': '92100'},{'Flatchr': 'Boulogne-Billancourt'},{'Flatchr': 'France'},{'Flatchr': '81 Rue de Paris'},{'Flatchr': '75016'},{'Flatchr': 'Boulogne-Billancourt'},{'Flatchr': 'France'}
Flatchr,Flatchr,1.0,{'Flatchr': '81 Rue de Paris'},{'Flatchr': '92100'},{'Flatchr': 'Boulogne-Billancourt'},{'Flatchr': 'France'},{'Flatchr': '81 Rue de Paris'},{'Flatchr': '75016'},{'Flatchr': 'Boulogne-Billancourt'},{'Flatchr': 'France'}
Alcimed,Alcimed,1.0000000000000004,{'Alcimed': '57 Boulevard de Montmorency'},{'Alcimed': '75016'},{'Alcimed': 'Paris'},{'Alcimed': 'France'},{'Alcimed': ''},{'Alcimed': ''},{'Alcimed': ''},{'Alcimed': ''}
Primobox,Primobox,1.0000000000000002,72 Rue du Faubourg Saint-Honoré,75008,Paris,France,72 Rue du Faubourg Saint-Honoré,75008,Paris,France
TYPY,TYPY,1.0,"7, CITÉ HITTORF",75010,Paris,France,"7, CITÉ HITTORF",75010,Paris,France
Agile4Me,Agile4Me,1.0000000000000002,21 Rue des Vergers,92320,Châtillon,France,21 Rue des Vergers,92320,Châtillon,France
Techni-Contact / Md2i,Techni-Contact / Md2i,1.0,253 Rue Gallieni,92100,Boulogne-Billancourt,France,253 Rue Gallieni,92100,Boulogne-Billancourt,France
dioki technologies,dioki technologies,1.0000000000000002,10 Rue Waldeck Rochet,93300,Aubervilliers,France,10 Rue Waldeck Rochet,93300,Aubervilliers,France
Sept Lieues,Sept Lieues,1.0000000000000002,80 Boulevard de la Corderie,13007,Marseille,France,80 Boulevard de la Corderie,13007,Marseille,France
OpenDigitalEducation,OpenDigitalEducation,1.0000000000000002,,75017,Paris,France,,75017,Paris,France
big boss studio,big boss studio,1.0000000000000002,4 Rue de la Liberté,06000,Nice,France,4 Rue de la Liberté,06000,Nice,France
FircoSoft,FircoSoft,1.0,247 Rue de Bercy,75012,Paris,France,247 Rue de Bercy,75012,Paris,France
EDF,EDF,1.0,{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''}
EDF,EDF,1.0,{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''}
EDF,EDF,1.0,{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''},{'EDF': ''}
Sutunam,Sutunam,1.0,24 Avenue Joannes Masset,69009,Lyon,France,24 Avenue Joannes Masset,69009,Lyon,France
La FoncièreNumérique,La FoncièreNumérique®,1.0000000000000002,28 Cours Albert 1er,75008,Paris,France,28 Cours Albert 1er,75008,Paris,France
La FoncièreNumérique,La FoncièreNumérique,1.0000000000000002,28 Cours Albert 1er,75008,Paris,France,28 Cours Albert 1er,75008,Paris,France
365Talents,365Talents,1.0000000000000002,1 Rue Ferrandière,69002,Lyon,France,1 Rue Ferrandière,69002,Lyon,France
MELTY GROUP,MELTY GROUP,1.0000000000000002,{'MELTY GROUP': '18 Rue Pasteur'},{'MELTY GROUP': '94270'},{'MELTY GROUP': 'Le Kremlin-Bicêtre'},{'MELTY GROUP': 'France'},18 Rue Pasteur,94270,Le Kremlin-Bicêtre,France
RMC,RMC,1.0000000000000002,12 Rue d'Oradour-sur-Glane,92130,Issy-les-Moulineaux,France,12 Rue d'Oradour-sur-Glane,92130,Issy-les-Moulineaux,France
Ligue de Football Professionnel,Ligue de Football Professionnel,1.0,6 Rue Lo Delibes,75116,Paris,France,6 Rue Lo Delibes,75116,Paris,France
Weenect,Weenect,1.0,101 Rue de Sèvres,75007,Paris,France,101 Rue de Sèvres,75007,Paris,France
Ouihelp.fr,Ouihelp.fr,1.0000000000000002,130 Rue de Lourmel,75015,Paris-15E-Arrondissement,France,130 Rue de Lourmel,75015,Paris-15E-Arrondissement,France
Albus,Albus,1.0,,75000,Paris,France,,75000,Paris,France
Sogedev,Sogedev,1.0,"175/177 RUE D'AGUESSEAU, BOULOGNE BILLANCOURT",92100,Boulogne-Billancourt,France,"175/177 RUE D'AGUESSEAU, BOULOGNE BILLANCOURT",92100,Boulogne-Billancourt,France
UpGraduate,UpGraduate,1.0000000000000002,2 Villa Thoreton,75015,Paris,France,2 Villa Thoreton,75015,Paris,France
bengs lab,bengs lab,1.0000000000000002,20 Avenue de Friedland,75008,Paris,France,20 Avenue de Friedland,75008,Paris,France
Dorlet,Dorlet,1.0,4 IMPASSE DES ARTISANS,77300,MEAUX,France,4 IMPASSE DES ARTISANS,77300,Meaux,France
Leaders League,LEADERS LEAGUE,1.0000000000000002,15 Avenue de la Grande-Armée,75116,Paris,France,15 Avenue de la Grande-Armée,75116,Paris,France
Leaders League,Leaders League,1.0000000000000002,15 Avenue de la Grande-Armée,75116,Paris,France,15 Avenue de la Grande-Armée,75116,Paris,France
Kalray,Kalray,1.0,445 Rue Lavoisier,38330,Montbonnot-Saint-Martin,France,445 Rue Lavoisier,38330,Montbonnot-Saint-Martin,France
SEMANTIWEB,Semantiweb,1.0,2 Rue Paul Vaillant Couturier,92300,Levallois-Perret,France,2 Rue Paul Vaillant Couturier,92300,Levallois-Perret,France
URBAN LINKER,URBAN LINKER,1.0000000000000002,11 Rue de Poissy,75005,Paris,France,11 Rue de Poissy,75005,Paris,France
Net Reviews,Net Reviews,1.0,20 Avenue Robert Schuman,40494,Marseille,France,20 Avenue Robert Schuman,40494,Marseille,France
Armis,Armis,1.0,17 Rue du Louvre,75001,Paris,France,17 Rue du Louvre,75001,Paris,France
"Zapa, S.A.",ZAPA,1.0000000000000002,"{'Zapa, S.A.': '54 Rue de Lancry'}","{'Zapa, S.A.': '75010'}","{'Zapa, S.A.': 'Paris'}","{'Zapa, S.A.': 'France'}",{'ZAPA': ''},{'ZAPA': ''},{'ZAPA': ''},{'ZAPA': ''}
Spinergie,Spinergie,1.0,{'Spinergie': ''},{'Spinergie': ''},{'Spinergie': 'Paris'},{'Spinergie': 'France'},"{'Spinergie': '34 Rue Victor Masse, 75009 PARIS'}",{'Spinergie': '75009'},{'Spinergie': 'Paris'},{'Spinergie': 'France'}
Equancy,Equancy,1.0000000000000002,47 Rue de Chaillot,75116,Paris,France,47 Rue de Chaillot,75116,Paris,France
OpenDataSoft,OpenDataSoft,1.0,130 Rue de Lourmel,02109,Paris,,130 Rue de Lourmel,02109,Paris,
CanalCloud,CanalCloud,1.0000000000000002,75 Avenue Victor Hugo,92500,Rueil-Malmaison,France,75 Avenue Victor Hugo,92500,Rueil-Malmaison,France
"HAProxy Technologies, LLC","HAProxy Technologies, LLC",1.0,375 Totten Pond Road,02451,Waltham,United States,375 Totten Pond Road,02451,Waltham,United States
VeryChic,VeryChic,1.0,23 Rue d'Anjou,75008,Paris,France,23 Rue d'Anjou,75008,Paris,France
Eiffage,Eiffage,1.0,"{'Eiffage': ""3-7 place de l'Europe""}",{'Eiffage': '78140'},{'Eiffage': 'Asnières-sur-Seine'},{'Eiffage': 'France'},"{'Eiffage': ""3-7 place de l'Europe""}",{'Eiffage': '78140'},{'Eiffage': 'Asnières-sur-Seine'},{'Eiffage': 'France'}
Eiffage,Eiffage,1.0,"{'Eiffage': ""3-7 place de l'Europe""}",{'Eiffage': '78140'},{'Eiffage': 'Asnières-sur-Seine'},{'Eiffage': 'France'},"{'Eiffage': ""3-7 place de l'Europe""}",{'Eiffage': '78140'},{'Eiffage': 'Asnières-sur-Seine'},{'Eiffage': 'France'}
Eiffage,Eiffage,1.0,"{'Eiffage': ""3-7 place de l'Europe""}",{'Eiffage': '78140'},{'Eiffage': 'Asnières-sur-Seine'},{'Eiffage': 'France'},"{'Eiffage': ""3-7 place de l'Europe""}",{'Eiffage': '78140'},{'Eiffage': 'Asnières-sur-Seine'},{'Eiffage': 'France'}
Teedji,Teedji,1.0,,,Paris,France,,,Paris,France
RIZZE,RIZZE,1.0000000000000002,16 rue Saulnier,75009,Paris,France,16 rue Saulnier,75009,Paris,France
Inventy,Inventy,1.0,1800 Route des Crêtes,92130,Valbonne,France,1800 Route des Crêtes,92130,Valbonne,France
MULTICULTURAL NETWORK CORPORATION Terms & Conditions Mentions légales,MULTICULTURAL NETWORK CORPORATION Terms & Conditions Mentions légales,1.0,,75001,,,,75001,,
Headoo,Headoo,1.0,8 rue de l'Isly,75008,Paris,France,8 rue de l'Isly,75008,Paris,France
"Shopmium, a Quotient brand","Shopmium, a Quotient brand",1.0,11 Rue Tronchet,75008,Paris,France,11 Rue Tronchet,75008,Paris,France
sandro,sandro,1.0000000000000002,{'sandro': '61 Rue de Turenne'},{'sandro': '75003'},{'sandro': 'Paris'},{'sandro': 'France'},{'sandro': '61 Rue de Turenne'},{'sandro': '75003'},{'sandro': 'Paris'},{'sandro': 'France'}
ESV Digital,ESV Digital,1.0,9 Gower Street,60642,London,,9 Gower Street,60642,London,
cello.fr,cello.fr,1.0,105 bis rue de Tolbiac,75013,Paris,France,105 bis rue de Tolbiac,75013,Paris,France
Mutieg,Mutieg,1.0,45 RUE GODOT DE MAUROY,75009,PARIS,France,45 Rue Godot de Mauroy,75009,Paris,France
SILICOM SAS,SILICOM SAS,1.0000000000000002,125 Boulevard Jean Jaurès,92100,Boulogne-Billancourt,France,125 Boulevard Jean Jaurès,92100,Boulogne-Billancourt,France
62 degrés,62 degrés,1.0000000000000002,,,Paris,France,,,Paris,France
Adloox,Adloox,1.0,{'Adloox': '25 W 39th St'},{'Adloox': '10018'},{'Adloox': 'New York'},{'Adloox': 'United States'},{'Adloox': ''},{'Adloox': ''},{'Adloox': ''},{'Adloox': ''}
Merci,Merci,1.0,{'Merci': '107 rue Réaumur'},{'Merci': '75002'},{'Merci': 'Paris 02'},{'Merci': 'France'},111 Boulevard Beaumarchais,75003,Paris,France
Merci,MERCI,1.0,{'Merci': '107 rue Réaumur'},{'Merci': '75002'},{'Merci': 'Paris 02'},{'Merci': 'France'},111 boulevard Beaumarchais,75003,Paris,France
RoomChecking,RoomChecking,1.0000000000000002,38 Quai des Carrières,94220,Charenton-le-Pont,France,38 Quai des Carrières,94220,Charenton-le-Pont,France
EKYOG,EKYOG,1.0,ZAC CAP MALO - AVENUE DU PHARE DE LA BALUE,35520,La Mézière,France,ZAC CAP MALO - AVENUE DU PHARE DE LA BALUE,35520,La Mézière,France
Délégation Catholique pour la Coopération,Délégation Catholique pour la Coopération,1.0000000000000002,106 Rue du Bac,75007,Paris,France,106 Rue du Bac,75007,Paris,France
Brainsonic,Brainsonic,1.0,28 Rue Meslay,75003,Paris,France,28 Rue Meslay,75003,Paris,France
YXIME SA,YXIME SA,1.0000000000000002,7 Rue nationale,92100,Boulogne-Billancourt,France,7 Rue nationale,92100,Boulogne-Billancourt,France
LPA-CGR avocats,LPA-CGR avocats,1.0000000000000004,{'LPA-CGR avocats': '136 Avenue des Champs-Élysées'},{'LPA-CGR avocats': '75008'},{'LPA-CGR avocats': 'Paris'},{'LPA-CGR avocats': 'France'},136 Avenue des Champs-Élysées,75008,Paris,France
LPA-CGR avocats,Lpa-Cgr Avocats,1.0000000000000004,{'LPA-CGR avocats': '136 Avenue des Champs-Élysées'},{'LPA-CGR avocats': '75008'},{'LPA-CGR avocats': 'Paris'},{'LPA-CGR avocats': 'France'},136 Avenue des Champs-Élysées,75008,Paris,France
IK Investment Partners,IK Investment Partners,1.0000000000000002,5 Lancaster Place,WC2E 7EN,London,United Kingdom,5 Lancaster Place,WC2E 7EN,London,United Kingdom
Applidium,Applidium,1.0000000000000002,20 Rue Sainte-Croix de la Bretonnerie,75010,Paris,France,20 Rue Sainte-Croix de la Bretonnerie,75010,Paris,France
PERFORMANCE & INFLUENCE,PERFORMANCE & INFLUENCE,1.0,94 Avenue Ledru Rollin,75011,Paris-11E-Arrondissement,France,94 Avenue Ledru Rollin,75011,Paris-11E-Arrondissement,France
Cyanide,Cyanide,1.0,3 Boulevard des Bouvets,92000,Nanterre,France,3 Boulevard des Bouvets,92000,Nanterre,France
Easyflyer,Easyflyer,1.0000000000000002,21 Rue de la Fonderie,45100,Orléans,France,21 Rue de la Fonderie,45100,Orléans,France
tbwa-corporate,tbwa-corporate,1.0000000000000002,50/54 Rue de Silly,92513,Boulogne-Billancourt Cedex,France,50/54 Rue de Silly,92513,Boulogne-Billancourt Cedex,France
Shapr,Shapr,1.0000000000000002,{'Shapr': '60 Broad Street'},{'Shapr': '10004'},{'Shapr': 'New York'},{'Shapr': 'United States'},{'Shapr': '60 Broad Street'},{'Shapr': '10004'},{'Shapr': 'New York'},{'Shapr': 'United States'}
Shapr,Shapr,1.0000000000000002,{'Shapr': '60 Broad Street'},{'Shapr': '10004'},{'Shapr': 'New York'},{'Shapr': 'United States'},{'Shapr': '60 Broad Street'},{'Shapr': '10004'},{'Shapr': 'New York'},{'Shapr': 'United States'}
Paris Val de Marne,Paris Val de Marne,1.0,23 Rue Raspail,94200,Ivry-sur-Seine,France,23 Rue Raspail,94200,Ivry-sur-Seine,France
Archos,Archos,1.0000000000000002,12 Rue Ampère,91430,Igny,France,{'Archos': ''},{'Archos': ''},{'Archos': ''},{'Archos': ''}
Pampa Paris,Pampa Paris,1.0000000000000002,218bis Rue Saint-Denis,75002,Paris,France,{'Pampa Paris': '218 Rue Saint-Denis'},{'Pampa Paris': '75019'},{'Pampa Paris': 'Paris'},{'Pampa Paris': 'France'}
Schoolab,Schoolab,1.0,{'Schoolab': '21 Rue de Cléry'},{'Schoolab': '75002'},{'Schoolab': 'Paris'},{'Schoolab': 'France'},{'Schoolab': ''},{'Schoolab': '75002'},{'Schoolab': 'Paris'},{'Schoolab': 'France'}
Schoolab,Schoolab,1.0,{'Schoolab': '21 Rue de Cléry'},{'Schoolab': '75002'},{'Schoolab': 'Paris'},{'Schoolab': 'France'},{'Schoolab': ''},{'Schoolab': '75002'},{'Schoolab': 'Paris'},{'Schoolab': 'France'}
GARDEN PRICE,GARDEN PRICE,1.0000000000000002,1 Rond-Point Laurent Schwartz,78310,Maurepas,France,1 Rond-Point Laurent Schwartz,78310,Maurepas,France
tequilarapido,tequilarapido,1.0,6 Place Garibaldi,06300,Nice,France,6 Place Garibaldi,06300,Nice,France
Waycom,Waycom,1.0000000000000002,{'Waycom': '24 Avenue du Général Charles de Gaulle'},{'Waycom': '92150'},{'Waycom': 'Suresnes'},{'Waycom': 'France'},24 Avenue du Général Charles de Gaulle,92150,Suresnes,France
Waycom,WAYCOM,1.0000000000000002,{'Waycom': '24 Avenue du Général Charles de Gaulle'},{'Waycom': '92150'},{'Waycom': 'Suresnes'},{'Waycom': 'France'},24 Avenue du Général Charles de Gaulle,92150,Suresnes,France
Evea Group,Evea Group,1.0000000000000002,18 Boulevard Gallieni,92230,Gennevilliers,France,18 Boulevard Gallieni,92230,Gennevilliers,France
nam.R,nam.R,1.0,,,Paris,France,,,Paris,France
NFrance,NFrance,1.0,4 Rue John Fitzgerald Kennedy,31000,Toulouse,France,4 Rue John Fitzgerald Kennedy,31000,Toulouse,France
AntVoice,AntVoice,1.0,28 Rue du Sentier,75002,Paris,France,28 Rue du Sentier,75002,Paris,France
Altran,Altran,1.0,{'Altran': '96 Avenue Charles de Gaulle'},{'Altran': '92200'},{'Altran': 'Neuilly-sur-Seine'},{'Altran': 'France'},{'Altran': '96 Avenue Charles de Gaulle'},{'Altran': '92200'},{'Altran': 'Neuilly-sur-Seine'},{'Altran': 'France'}
Altran,Altran,1.0,{'Altran': '96 Avenue Charles de Gaulle'},{'Altran': '92200'},{'Altran': 'Neuilly-sur-Seine'},{'Altran': 'France'},{'Altran': '96 Avenue Charles de Gaulle'},{'Altran': '92200'},{'Altran': 'Neuilly-sur-Seine'},{'Altran': 'France'}
Collège des Bernardins,Collège des Bernardins,1.0,20 Rue de Poissy,75005,Paris,France,20 Rue de Poissy,75005,Paris,France
Bearstech,Bearstech,1.0,40 Passage des Panoramas,75002,Paris-2E-Arrondissement,France,40 Passage des Panoramas,75002,Paris-2E-Arrondissement,France
Strapi,Strapi,1.0000000000000002,128 Rue la Boétie,75008,Paris,France,128 Rue la Boétie,75008,Paris,France
